Category,Item,Value,Unit,Source / Notes
Inputs,Peak concurrent sandboxes,1000,VMs,Target at launch
Inputs,Per-VM vCPU,1,vCPU,Single vCPU default
Inputs,Per-VM RAM,2,GB,Chrome headful + Xvfb + Hive + OS
Inputs,Per-VM disk,4,GB,OS 1.5 + Chrome 0.5 + workspace 2
Inputs,CPU overcommit ratio,3,ratio,2=safe 3=browser-friendly 4=aggressive
Inputs,Host RAM headroom,16,GB,Reserved per host for OS + orchestrator
Inputs,MaxSandboxesPerNode flag,200,VMs,E2B soft cap; raise via LaunchDarkly
Inputs,Storage per account,4,GB,Profile + workspace + memory snapshot
Inputs,Active to total account ratio,0.2,ratio,0.2 = 5 accounts per concurrent slot
Inputs,Workload mode,long-running,text,long-running (8-24hr agents) or short-task
,,,,
Prices,Advance-5 base (96 GB RAM),343,USD/month,Confirmed OVH US pricing 2026-04-19
Prices,Advance-5 with 384 GB RAM,376,USD/month,Confirmed OVH configurator
Prices,Advance-5 setup fee,343,USD one-time,Confirmed OVH pricing page
Prices,Public Cloud VM b2-7 (2vCPU/7GB),45,USD/month,Estimated - verify in portal
Prices,Public Cloud VM b2-15 (4vCPU/15GB),80,USD/month,Estimated
Prices,Public Cloud VM c2-15 (4vCPU/15GB),100,USD/month,Estimated
Prices,Public Cloud VM c2-30 (8vCPU/30GB),200,USD/month,Estimated
Prices,Object Storage standard,0.01,USD/GB/month,Estimated
Prices,OVH managed Postgres mid-tier,200,USD/month,Estimated
Prices,OVH managed Redis mid-tier,100,USD/month,Estimated
,,,,
Fleet sizing,Host physical cores,24,cores,Advance-5 EPYC 8224P
Fleet sizing,Host threads (SMT),48,threads,cores x 2
Fleet sizing,vCPU offered per host,144,vCPU,threads x CPU overcommit
Fleet sizing,VMs per host CPU-bound,144,VMs,vCPU offered / vCPU per VM
Fleet sizing,Host RAM config,384,GB,
Fleet sizing,Usable RAM per host,368,GB,RAM minus headroom
Fleet sizing,VMs per host RAM-bound,184,VMs,usable RAM / RAM per VM
Fleet sizing,VMs per host (effective),144,VMs,MIN of CPU RAM and cap
Fleet sizing,Hosts needed,7,hosts,CEILING(concurrent / VMs per host)
Fleet sizing,Bare-metal monthly cost,2632,USD/month,hosts x $376
Fleet sizing,Setup fees amortized 12mo,200,USD/month,hosts x $343 / 12
,,,,
Control plane,Nomad + Consul servers (3 x b2-15),240,USD/month,
Control plane,Vault cluster (3 x b2-7),135,USD/month,Raft backend
Control plane,Harbor (2 x b2-15),160,USD/month,
Control plane,Client-Proxy edge (2 x b2-7),90,USD/month,
Control plane,ClickHouse self-host (1 x c2-30),250,USD/month,Includes high-IOPS volume
Control plane,Monitoring (1 x c2-15),100,USD/month,Grafana + Loki + Tempo + Mimir
